Smiles;RON;MON
CO;109.35;87.8
CCO;109.0;89.67
CCCO;103.53;89.0
CC(C)O;108.17;98.23
CCCCO;98.0;85.0
CCC(C)O;105.67;93.0
CC(C)CO;105.0;90.0
CC(C)(C)O;105.0;89.0
CCCCCO;81.93;75.3
CCCC(C)O;99.4;90.8
CCC(O)CC;103.0;90.8
CCC(C)CO;101.33;88.17
CC(C)CCO;97.2;85.87
CCC(C)(C)O;97.0;
CCCC(O)CC;94.1;
CCCC(C)CO;91.7;
CC(C)CC(C)O;102.0;95.0
CC(=CCO)C;93.5;74.0
CC(C)(C=C)O;102.7;95.0
CCCCC(CC)CO;84.5;74.5
CCCCCC(C)O;74.6;70.6
CCCCCCO;69.3;
CC(=C)CCO;97.2;
CC;112.4;100.13
CCC;111.8;96.93
CCCC;93.8;89.6
CCCCC;61.8;62.42
CCCCCC;24.8;26.0
CC(C)C;101.8;97.4
CCC(C)C;92.53;90.1
CC(C)(C)C;85.5;80.2
CCCC(C)C;73.4;73.5
CCC(C)CC;74.5;73.97
CCC(C)(C)C;91.8;93.4
CC(C)C(C)C;103.8;94.27
CCCCC(C)C;42.27;46.27
CCCC(C)CC;52.0;55.65
CCCC(C)(C)C;92.8;95.6
CCC(C)(C)CC;80.8;86.6
CCC(C)C(C)C;91.1;88.5
CC(C)CC(C)C;83.1;83.8
CCC(CC)CC;65.0;69.3
CC(C)C(C)(C)C;112.07;101.25
CCCCCC(C)C;21.69;23.55
CCCCC(C)CC;26.87;35.0
CCCC(C)CCC;26.7;39.0
CCCC(C)C(C)C;71.3;78.9
CCC(C)CC(C)C;65.2;69.9
CC(C)CCC(C)C;55.2;55.7
CCCC(C)(C)CC;75.5;83.4
CCCCC(C)(C)C;72.5;77.4
CCC(C)C(C)CC;76.3;81.7
CCCC(CC)CC;33.5;52.4
CCC(C)C(C)(C)C;109.6;99.9
CC(C)CC(C)(C)C;100.0;100.0
CCC(C)(C)C(C)C;106.0;99.4
CC(C)C(C)C(C)C;102.57;95.9
CCC(CC)C(C)C;87.3;88.1
